subID,trial,Room,Condition,moveItem,Repeat,Block,ObjectMovedIs,start,end,TarPos_x,TarPos_z,TarRot_x,TarRot_z,Start_SubPos_x,Start_SubPos_z,Start_SubRot_x,Start_SubRot_z,End_SubPos_x,End_SubPos_z,End_SubRot_x,End_SubRot_z,response,RT,
p03,0,Room_121,stay,yes,A,1,left,A,A,32.25,133.05,0,0,32.90046,133.0435,0.137888,0.108324,32.0938,133.2774,-0.05403828,-0.4897765,No response,N/A,
p03,0,Room_121,stay,yes,A,1,left,A,B,61.94855,131.925,0,0,61.75775,132.024,0.1872452,0.09290414,61.75925,132.0896,-0.2778069,-0.4267977,Left,10.84899,
p03,1,Room_122,stay,no,A,1,left,B,B,98.26487,131.6059,0,0,98.34301,131.7503,0.1687227,-0.09204578,98.41454,131.7485,0.5425879,-0.196304,Left,9.350721,
p03,2,Room_123,stay,no,A,1,left,B,A,110.7806,135.1682,0,0,110.8047,135.0955,-0.06348419,-0.1965598,110.6247,135.0809,-0.03943748,-0.07690877,Right,12.87102,
p03,3,Room_124,stay,yes,A,1,left,A,B,67.88569,133.8195,0,0,68.13555,133.75,0.1307612,-0.174846,68.14659,133.8041,0.1599002,-0.1800881,Left,10.04641,
p03,4,Room_125,stay,no,A,1,left,A,B,22.11823,132.2694,0,0,20.68908,131.1323,0.2612875,0.02488459,21.78464,132.2269,0.5065241,0.0851377,Left,10.72283,
p03,5,Room_126,walk,yes,A,2,left,B,A,38.875,134.9986,0,0,38.0053,133.3967,0.09610152,-0.1442934,39.00576,134.8507,0.02430754,-0.1348305,Left,9.272799,
p03,6,Room_127,walk,no,A,2,left,A,A,49.2194,130.9318,0,0,48.07135,132.3889,0.1720087,-0.1127932,49.2912,131.1034,0.2037851,-0.03881606,Left,9.210504,
p03,7,Room_128,walk,yes,A,2,left,B,B,92.11431,132.2805,0,0,91.8427,134.1428,0.1174689,0.1637548,91.98367,132.4029,0.1677685,0.0880761,Left,9.699445,
p03,8,Room_129,walk,no,A,2,left,A,B,79.2194,130.9318,0,0,78.02735,132.2751,0.1786427,-0.133333,79.25596,131.1335,0.1898274,-0.04655731,Left,12.20562,
